temp     	E         	minE      	maxE      	AcceptN	TrialN	Time
100.000000	4205.000000	3709.000000	4309.000000	467500	472925	Thu Oct 15 12:34:20 2020
75.000000	4017.000000	3731.000000	4298.000000	467500	475007	Thu Oct 15 13:12:42 2020
56.250000	4071.000000	3694.000000	4311.000000	467500	477070	Thu Oct 15 13:50:55 2020
42.187500	3925.000000	3594.000000	4242.000000	467500	480314	Thu Oct 15 14:29:06 2020
31.640625	3858.000000	3600.000000	4154.000000	467500	484802	Thu Oct 15 15:07:20 2020
23.730469	3703.000000	3425.000000	4123.000000	467500	490484	Thu Oct 15 15:45:28 2020
17.797852	3634.000000	3447.000000	3989.000000	467500	498320	Thu Oct 15 16:23:44 2020
13.348389	3544.000000	3321.000000	3831.000000	467500	509300	Thu Oct 15 17:01:45 2020
10.011292	3530.000000	3123.000000	3708.000000	467500	522858	Thu Oct 15 17:39:48 2020
7.508469	3181.000000	2980.000000	3547.000000	467500	542205	Thu Oct 15 18:17:54 2020
5.631351	2896.000000	2775.000000	3235.000000	467500	567755	Thu Oct 15 18:55:56 2020
4.223514	2795.000000	2489.000000	2970.000000	467500	602513	Thu Oct 15 19:34:09 2020
3.167635	2494.000000	2182.000000	2821.000000	467500	650555	Thu Oct 15 20:12:35 2020
2.375726	2110.000000	1896.000000	2496.000000	467500	713744	Thu Oct 15 20:51:32 2020
1.781795	1720.000000	1603.000000	2110.000000	467500	799688	Thu Oct 15 21:31:10 2020
1.336346	1423.000000	1273.000000	1729.000000	467500	912325	Thu Oct 15 22:11:36 2020
1.002260	1038.000000	976.000000	1436.000000	467500	1068806	Thu Oct 15 22:54:11 2020
0.751695	801.000000	704.000000	1041.000000	467500	1271947	Thu Oct 15 23:41:18 2020
0.563771	580.000000	464.000000	806.000000	467500	1535857	Fri Oct 16 00:35:24 2020
0.422828	320.000000	279.000000	582.000000	467500	1845495	Fri Oct 16 01:38:17 2020
0.317121	157.000000	142.000000	319.000000	401192	1870000	Fri Oct 16 02:41:11 2020
0.237841	83.000000	49.000000	158.000000	355740	1870000	Fri Oct 16 03:43:57 2020
0.178381	17.000000	13.000000	84.000000	332167	1870000	Fri Oct 16 04:46:41 2020
0.133786	6.000000	1.000000	18.000000	323500	1870000	Fri Oct 16 05:49:26 2020
0.100339	0.000000	0.000000	6.000000	322707	1870000	Fri Oct 16 06:52:08 2020
0.075254	0.000000	0.000000	0.000000	322585	1870000	Fri Oct 16 07:54:51 2020
