temp     	E         	minE      	maxE      	AcceptN	TrialN	Time
100.000000	4264.000000	3931.000000	4619.000000	473750	479480	Fri Oct 16 10:37:39 2020
75.000000	4325.000000	3959.000000	4627.000000	473750	481289	Fri Oct 16 11:19:45 2020
56.250000	4211.000000	3940.000000	4517.000000	473750	483862	Fri Oct 16 12:01:53 2020
42.187500	4034.000000	3874.000000	4500.000000	473750	487386	Fri Oct 16 12:44:01 2020
31.640625	4075.000000	3781.000000	4438.000000	473750	491439	Fri Oct 16 13:26:10 2020
23.730469	4079.000000	3718.000000	4340.000000	473750	497584	Fri Oct 16 14:08:09 2020
17.797852	4058.000000	3613.000000	4230.000000	473750	506077	Fri Oct 16 14:50:01 2020
13.348389	3821.000000	3457.000000	4085.000000	473750	516701	Fri Oct 16 15:31:38 2020
10.011292	3571.000000	3323.000000	3935.000000	473750	531672	Fri Oct 16 16:13:21 2020
7.508469	3262.000000	3133.000000	3674.000000	473750	550629	Fri Oct 16 16:54:55 2020
5.631351	3199.000000	2969.000000	3396.000000	473750	577292	Fri Oct 16 17:36:33 2020
4.223514	2971.000000	2607.000000	3201.000000	473750	611757	Fri Oct 16 18:18:06 2020
3.167635	2470.000000	2313.000000	2979.000000	473750	658736	Fri Oct 16 18:59:34 2020
2.375726	2173.000000	2037.000000	2471.000000	473750	723204	Fri Oct 16 19:41:29 2020
1.781795	1889.000000	1714.000000	2175.000000	473750	809916	Fri Oct 16 20:24:16 2020
1.336346	1475.000000	1370.000000	1892.000000	473750	923871	Fri Oct 16 21:08:21 2020
1.002260	1192.000000	1090.000000	1476.000000	473750	1079031	Fri Oct 16 21:54:53 2020
0.751695	935.000000	811.000000	1196.000000	473750	1281149	Fri Oct 16 22:45:52 2020
0.563771	592.000000	526.000000	934.000000	473750	1550689	Fri Oct 16 23:43:17 2020
0.422828	387.000000	340.000000	592.000000	473750	1850739	Sat Oct 17 00:48:27 2020
0.317121	204.000000	175.000000	387.000000	412079	1895000	Sat Oct 17 01:53:24 2020
0.237841	82.000000	67.000000	205.000000	366133	1895000	Sat Oct 17 02:58:13 2020
0.178381	29.000000	13.000000	82.000000	341299	1895000	Sat Oct 17 04:03:03 2020
0.133786	7.000000	2.000000	29.000000	336981	1895000	Sat Oct 17 05:07:47 2020
0.100339	1.000000	0.000000	7.000000	334308	1895000	Sat Oct 17 06:12:32 2020
0.075254	0.000000	0.000000	1.000000	332744	1895000	Sat Oct 17 07:17:21 2020
0.056441	0.000000	0.000000	0.000000	331870	1895000	Sat Oct 17 08:22:06 2020
